config_id,framework,backend,case_id,category,batch_index,request_index,profile,status,elapsed_ms,ttft_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,prompt_tokens,completion_tokens,completion_units,tok_per_s,error
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,5,1,short,ok,20266,355.96203804016113,19.462549791308092,19.231081008911133,19.66094970703125,0,0,1024,50.52797789400967,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,5,2,short,ok,20278,636.5299224853516,19.276072864326576,19.208431243896484,19.689559936523438,0,0,1020,50.300818621165796,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,5,3,short,ok,20283,635.0162029266357,19.28224975391272,19.222497940063477,19.67453956604004,0,0,1020,50.28841887294779,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,5,4,short,ok,20318,633.9082717895508,19.3116047197516,19.21248435974121,19.711971282958984,0,0,1020,50.201791514912884,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,5,5,short,ok,20324,632.3635578155518,19.31135507046416,19.21677589416504,19.682645797729492,0,0,1020,50.186971068687264,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,5,6,short,ok,20285,630.8319568634033,19.27632625718346,19.208192825317383,19.648075103759766,0,0,1020,50.2834606852354,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,5,7,short,ok,20291,629.7509670257568,19.294644010429643,19.232511520385742,19.7145938873291,0,0,1020,50.26859198659504,
vllm_flashinfer_batch8192,vllm,flashinfer,decode_heavy_c8_short,decode_pressure,5,8,short,ok,20294,629.1115283966064,19.294060949488408,19.20032501220703,19.7296142578125,0,0,1020,50.261160934266286,
sglang_flashinfer_run8,sglang,flashinfer,hom_c8_2k_each,homogeneous_stream,1,1,long2k,ok,4385,159.10887718200684,16.57208648382449,16.544342041015625,16.9980525970459,0,0,256,58.38084378563284,
sglang_flashinfer_run8,sglang,flashinfer,hom_c8_2k_each,homogeneous_stream,1,2,long2k,ok,4403,38.68865966796875,17.10346913805195,16.550064086914062,16.957759857177734,0,0,256,58.14217578923462,
sglang_flashinfer_run8,sglang,flashinfer,hom_c8_2k_each,homogeneous_stream,1,3,long2k,ok,4390,158.0026149749756,16.5832566279991,16.550779342651367,16.973257064819336,0,0,256,58.31435079726652,
sglang_flashinfer_run8,sglang,flashinfer,hom_c8_2k_each,homogeneous_stream,1,4,long2k,ok,4399,157.8354835510254,16.634464263916016,16.557693481445312,16.984939575195312,0,0,256,58.19504432825642,
sglang_flashinfer_run8,sglang,flashinfer,hom_c8_2k_each,homogeneous_stream,1,5,long2k,ok,4386,157.89318084716797,16.58211876364315,16.546249389648438,17.03357696533203,0,0,256,58.36753305973552,
sglang_flashinfer_run8,sglang,flashinfer,hom_c8_2k_each,homogeneous_stream,1,6,long2k,ok,4392,157.11355209350586,16.576130249921015,16.56055450439453,17.007827758789062,0,0,256,58.287795992714024,
sglang_flashinfer_run8,sglang,flashinfer,hom_c8_2k_each,homogeneous_stream,1,7,long2k,ok,4381,157.91726112365723,16.56366236069623,16.549110412597656,16.93129539489746,0,0,256,58.434147454918964,
sglang_flashinfer_run8,sglang,flashinfer,hom_c8_2k_each,homogeneous_stream,1,8,long2k,ok,4395,157.47594833374023,16.594534294278013,16.541004180908203,16.940593719482422,0,0,256,58.24800910125143,
sglang_flashinfer_run8,sglang,flashinfer,hom_c8_2k_each,homogeneous_stream,2,1,long2k,ok,4386,37.21356391906738,17.05498882368499,16.572952270507812,16.96467399597168,0,0,256,58.36753305973552,
