config_id,framework,backend,label,case_id,concurrency,prompt_tokens,max_tokens,batch_index,request_index,elapsed_ms,completion_tokens,total_tokens,tok_per_s,status,error
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,5,2,7291,256,2445,35.1118,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,5,3,7329,256,2445,34.9297,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,5,4,7360,256,2445,34.7826,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,5,5,7347,256,2445,34.8442,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,5,6,7329,256,2445,34.9297,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,5,7,7347,256,2445,34.8442,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,5,8,7359,256,2445,34.7873,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c1_limit_8k,1,7395,512,1,1,9762,512,7907,52.4483,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c1_limit_8k,1,7395,512,2,1,9763,512,7907,52.4429,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c1_limit_8k,1,7395,512,3,1,9762,512,7907,52.4483,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c1_limit_8k,1,7395,512,4,1,9764,512,7907,52.4375,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c1_limit_8k,1,7395,512,5,1,9766,512,7907,52.4268,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c2_4k_each,2,7395,512,1,1,11441,512,7907,44.7513,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c2_4k_each,2,7395,512,1,2,11471,512,7907,44.6343,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c2_4k_each,2,7395,512,2,1,11473,512,7907,44.6265,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c2_4k_each,2,7395,512,2,2,11444,512,7907,44.7396,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c2_4k_each,2,7395,512,3,1,11448,512,7907,44.7240,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c2_4k_each,2,7395,512,3,2,11477,512,7907,44.6110,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c2_4k_each,2,7395,512,4,1,11447,512,7907,44.7279,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c2_4k_each,2,7395,512,4,2,11476,512,7907,44.6148,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c2_4k_each,2,7395,512,5,1,11446,512,7907,44.7318,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c2_4k_each,2,7395,512,5,2,11474,512,7907,44.6226,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,1,1,12067,512,4835,42.4298,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,1,2,12048,512,4835,42.4967,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,1,3,12084,512,4835,42.3701,ok,
vllm_triton_attn,vllm,triton_attn,vLLM triton_attn,c4_2k_each,4,4323,512,1,4,12095,512,4835,42.3315,ok,
